Id,Text,label,human_is_hazard,pred_hazard_ft,pred_label_ft,confidence
472685,"I am a lover of coffee and will try almost any coffee product once. I own a coffee pod maker at work, and I have been using Senseo's medium roast and espresso pods for a few months, but after trying Marley Coffee, I do not think I can go back to Senseo. I am not demeaning Senseo's quality, but I am certainly highlighting my preference for Marley Coffee. I will admit that when it comes to pod coffee, I do not expect much, and that's probably why I have stuck to only one brand; Marley Coffee, however, went beyond my expectations. I like my coffee strong; therefore, I recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; I never add other ingredients or sweeteners)). On a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. Other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",safe,0,0,safe,0.9996576309204102
193069,In the UK this is one of the most popular chocolate bars.  It is a light honeycomb bar covered in Cadburys Milk Chocolate. If you like toffee and chocolate you will love these!,safe,0,0,safe,0.999804675579071
258083,My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.,safe,0,0,safe,0.9997743964195251
44300,Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.,safe,0,0,safe,0.9998199343681335
34322,"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that.",quality_defect,1,1,hazard,0.9992283582687378
492363,"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!",safe,0,0,safe,0.9996848106384277
446395,"Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",safe,0,0,safe,0.9997603297233582
151850,"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all.",safe,0,0,safe,0.9997842907905579
120858,Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,safe,0,0,safe,0.9997795224189758
368062,I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it,safe,0,0,safe,0.9997832179069519
154344,"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude.",safe,0,0,safe,0.9997593760490417
568077,Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.,safe,0,0,safe,0.9997461438179016
492898,"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!",quality_defect,1,1,hazard,0.9993269443511963
326270,I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!,safe,0,0,safe,0.9997523427009583
32044,I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.,safe,0,0,safe,0.9997686743736267
437653,"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes",safe,0,0,safe,0.9997459053993225
179196,"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?",safe,0,0,safe,0.9996187686920166
469702,"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way.",quality_defect,1,1,hazard,0.9991564750671387
146985,"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!",safe,0,0,safe,0.9997217059135437
21259,"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help.",safe,0,0,safe,0.9997939467430115
234761,"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try.",quality_defect,1,1,hazard,0.9993372559547424
473872,"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift.",safe,0,0,safe,0.9996960163116455
365005,"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!",safe,0,0,safe,0.999731719493866
180616,"I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",safe,0,0,safe,0.9998043179512024
233360,"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me.",safe,0,0,safe,0.9998136162757874
158427,"I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",quality_defect,1,1,hazard,0.9988864064216614
363914,"Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them.",quality_defect,1,1,hazard,0.9992995262145996
426759,"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!",safe,0,0,safe,0.9997439980506897
203993,"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today.",safe,0,0,safe,0.999721109867096
166716,"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",safe,0,0,safe,0.9997530579566956
257342,"My cat loves this stuff! The nutrition is fair and it has alot of juice in the packet. It is a mixture of chunks of meat along with some shreads. It looks like real shreds of chicken. The sale price here at Amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />I never have any trouble getting all of the food out of the pouch - it all slides right out. This particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, I usually just cut the top off (to avoid any messes while tearing open) or, I tear from one side half way and then from the other side the rest of the way and the entire top comes off then. If there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and I do not get splattered with it. For some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. It is not like it makes a huge mess though anyway, just a few drips here and there maybe. Cutting the top off instead of tearing it solves that though.<br /><br />The other Whiskas pouches that I like to use are the Choice Cuts varieties. They have nice big chunks in them instead of a bunch of mush or all shreds. My cat likes the chunkier ones better.",safe,0,0,safe,0.9993798732757568
86568,"I'm not generally a fan of hot sauces.  However, when I initially came across this in a diner I gave it a sniff, and it smelled promising.  It was quite good with my steak that morning.  Now that I have it at home, I will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces.",safe,0,0,safe,0.9998013377189636
380154,"I recently bought some of this at a local market.  I decided to try it because for quite some time now I have purchased Morton's Light Salt to cut down on the some of the sodium I take in.  This Diamond Crystal blend is not only cheaper than the Morton's for a generous amount more, but it also taste better in my opinion.  Like the Morton's, it contains a full one third less sodium.  But where the Morton's uses the popular substitute Potassium Chloride that has a slight metallic taste to it, the main substitute ingredient in this Diamond Chrystal blend is Silicon Dioxide, which to me has a much more natural salt taste.  I prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. It took me no time at all to get used to it, and I use it in my cooking as well as in the shaker as well.  If you have trouble finding it locally, I suggest you pick it up by the case here on Amazon and you will be set for a year or more.  A real good salt substitute, (that does contain real salt as well) that I recommend...",safe,0,0,safe,0.9996938705444336
422062,"If you're looking for a yummy treat for your cat, try these.  After trying both the chicken and salmon flavors, my cats greatly preferred the chicken.  In fact, they love them.  These treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat.  I will definitely buy these again.",safe,0,0,safe,0.999764621257782
216106,This is my favorite tea.  It has that lovely flavor and aroma of Ceylon tea.  I drink way too many cups of it each day!  I only wish they had a decaf version.,safe,0,0,safe,0.9997848868370056
17808,I LOVE MY FROG GUMMY CANDY...I even shared it with the grand kids (even though I DON'T normally share with anyone).,safe,0,0,safe,0.9997994303703308
136889,"I like this product enough that I used to buy at least a bottle a week locally - mostly to flavor my mineral water and ice tea, while adding some Vitamin C. I was scared to mail-order a 12-pack of glass bottles filled with liquid. I envisioned disaster. Not to worry. They were set in a special foam spacer insert and well-protected. They all arrived intact. The package was still easy to open. The price is really good. I would not hesitate to order again. Good job!",safe,0,0,safe,0.9990341663360596
286014,"I've noticed that with a lot of products on the market today- cereals and snack items like these soynuts, the quality of the food is increasingly subpar, i.e. there are almost always a few grains or other items/detritutus in the package that should not be there. A few of these beans, for example, look like they were dried w/ tiny black spots from dirt or perhaps insects? Some might attribute this to the fact that these beans are a product of China and while I do not think that its origins are the primary source of the problem, it might explain in part the low quality of the edamame. These green babies are tasty enough although the punch of the wasabi is low. Texture is reminiscent of freeze dried food but more solid. For me, the sodium level is just about right but I happen to believe that most products are too salty and that high sodium levels may have as much to do with American's expanding waist lines as HFCS. But back to the product at hand- would I order these again? Maybe, but I am more careful about each bean I pop into my mouth now. As a highly allergy sensitive individual, I can't afford to down bad beans no matter how tiny the black dots are.",contamination,1,1,hazard,0.9992974996566772
38016,I planted mine in a separate area next to my yellow and mixed color sunflowers and they never sprouted. (shrugs)  I wonder if I got an old batch of seeds.,quality_defect,1,1,hazard,0.999365508556366
488358,We recommend buying the coffee pods through Amazon. They cost less than at the manufacturer's site.,safe,0,0,safe,0.9998083710670471
246569,"With a legendary name like Gevalia, I was disappointed to find that the coffee contains artificial flavors.  The outside packaging looks gourmet and epicurean, with gold lettering.  Unfortunately, artificial flavoring also plainly occupies the front face.<br /><br />The aroma from the coffee is quite pleasant, however, after brewing, the coffee itself is nothing to write home about.  In fact, it tasted rather bitter.<br /><br />I would not buy this item.",quality_defect,1,1,hazard,0.9993042945861816
27076,My bishon/shitzu puppy loves these. They don't last as long as a rawhide more like a treat. The mini size are perfect for her!,safe,0,0,safe,0.9997171759605408
484314,"I drank this tea at least 4 days a week during the last 6 weeks of my pregnancy.  I wish I did it the entire last trimester and everyday!  I had a 6 hour natural labor and delivery and I only pushed for 15 minutes.  My contractions, even at their most intense, only felt like strong menstrual cramps.  I brewed my tea double strength and then drank it with lemonade.  Delicious and refreshing!  Even on it's own as a hot tea, it's pretty palatable.  My last trimester was in the summer though, so I always drank it iced.  I also used Evening Primrose Oil suppositories for the last 5 weeks. I really believe that these two factors are the main reason why my labor and delivery was so fast and EASY!",safe,0,0,safe,0.9996987581253052
366708,"These taste really great in smoothies! They add a creamy texture and a bit of a nutty flavor. What a great way to add protein to a veggie diet! Love them. They arrived fresh and packed nicely. If I ever run out of my 3 lb, I will order again from this seller.",safe,0,0,safe,0.9997127652168274
324958,"I bought the jumbo-size bars and love being able to help myself to one at home whenever I'm in the mood.  It's that combination of sweet caramel center and salty, crunchy peanut coating that does it for me.  The boxful arrived promptly and the contents were fresh and delicious, but since every bar is wrapped in plastic, they stay fresh too.  Really a fun buy.",safe,0,0,safe,0.999690055847168
447100,"We love Crystal Light Fruit Punch.  Granted, this is a LARGE amount of punch but works great when mixed in a very large container.  Nice price.",safe,0,0,safe,0.9997432827949524
155117,"I have been using Nutiva coconut oil for over a year now and I love this product, the texture, the taste.. Wonderful and light and delicious ... I have tried other brands but they have a funny after taste. I substitute coconut oil for all my cooking and baking if I can.. I use half and half with butter to cut down the cholesterol but still get a buttery taste, I float a teaspoon on my hot chocolate for quick morning energy (divine) .. I pop the pop corn in my ""whirly pop"" machine... YUMMY.",safe,0,0,safe,0.9997149109840393
545586,I bought this online because I couldn't find it anywhere in the stores.  The packets are easy to use and I keep several in each purse so they're always at hand.  They spruce up the H2O in my water bottles and can even keep the tab at a restaurant a bit lower (if you dare !!!) lol,safe,0,0,safe,0.9997385144233704
322591,"I bought this because I'm a type 2 diabetic on Byetta.  I use it on my oatmeal and on fresh grapefruit.  I havent used it on anything else yet, but I plan to try it when I bake some granola.  Its very sweet with no aftertaste.  It also doesnt affect my blood sugar.  Great stuff.",safe,0,0,safe,0.9997764229774475
265405,"Absolutely the way to go if you're cutting refined sugar.  Low glycemic index, tastes like sugar, great for diabetics.",safe,0,0,safe,0.9997939467430115
250866,"I absolutely love this product and most of the flavors.  It is not sold in stores by me any longer, so was delighted to find it here.  Much better than the same type of drink sold by the other big name company's.",safe,0,0,safe,0.9997325539588928
374004,"I almost do not want to purchase Green and Black chocolate as I cannot stop at one piece but devour the entire bar.  ALL their chocolate has this effect on me but particularly this almond one as the almonds are whole, not pieces, and the chocolate is SO SMOOTH that it truly melts in your mouth.  I consider it health food as it has almonds, right.",safe,0,0,safe,0.9996944665908813
357331,"I am the family butcher who at home, salt-cures and smokes the bacons, hams and variety meats for my family and a few friends.<br />This Salt Cured Cod was bought online again, as this Cod is not on my grocer's shelf.<br /><br />A simple man's recipe;<br />Rinse 1/2 the cod, then with a sturdy knife, cut the cod into polite size pieces.<br />In a large bowl, cover the cod with water and refrigerate. Change water and turn cod twice daily, until you soak out enough salt, taste the salt level after 4th water change.<br /><br />In a large skillet, melt a stick of butter.<br />Drain a jar of roasted sweet peppers and cut into polite size pieces.<br />Add cod and peppers to the warm skillet.<br />Bring to slow simmer for 10 minutes.<br /><br />Serve with jasmine rice or a baguette type bread.<br />Leftovers reheat quite well.",safe,0,0,safe,0.9996647834777832
155958,My dog just smells the food and walks away. We have tried wetting the food mixing tuna fish water drained from the canned tuna.<br />Just something about the content that gives the food an smell Lexie doesn't care for.<br />Our dog is thirteen years old and is spoil to one type of dry dog food.<br />We can not recommend this product.,safe,0,1,hazard,0.9993473887443542
547723,"I am totally addicted to POPCHIPS!  This is a very plain flavor, but tasts ok - it is not my favorite but I can eat them.  It tates better than a plain chip - not greasy or anything.  Around 100 calories and 3 grams of fat is still a very good snack, in my opinion.  I would buy these again.",safe,0,0,safe,0.9997097849845886
331114,This was gross. No other way to describe it. The pasta is horrible. There are so many other pasta options. Do not waste your money or taste buds on this.,quality_defect,1,1,hazard,0.9991745352745056
236606,"To be honest I'm not a huge Green Mountain Roasters fan, and I'm from VT so I've tried just about every flavor they've come up with at one point or another, but I love their Island Coconut, and it drives me crazy that their best flavor is only available during the summer...or at least from them. Amazon, however, seems to have it all the time, I suspect someone over there loves this flavor as much as I do. If you like coconut and coffee you have to try this one, it's like being on a tropical island.",safe,0,0,safe,0.9998005032539368
1534,"Good product and decent shipping. However, the price was $15.95 and I later found the same item in a local store for $6.95. What a gouge.",safe,0,0,safe,0.9997779726982117
505367,"My indoor cats were initially wary - but the third time I served it, they ate it with relish - and have ever since.  The outdoor cats [all volunteers, now neutered] took to it right away.",safe,0,0,safe,0.9997920393943787
160034,"I grew up getting jelly rings from the dept store candy counters, but they are increasingly hard to find.  I ordered these hoping they would be the same, but they are not.  These are a dark chocolate (I'm not a fan of dark chocolate), and even taste a little old or stale.  The raspberry filling is not as sweet as I expected either.",quality_defect,1,1,hazard,0.9990665316581726
280021,"I was definately expecting a better product from earth's best. However, these biscuits were not good at all. My son who only has 2 teeth broke these very easily. I will not be buying them again.",quality_defect,1,1,hazard,0.9993454813957214
473845,My sister brought me a few jars of this pasta sauce several years ago and I have been a fan every since.,safe,0,0,safe,0.9998083710670471
387636,"These pods do not fit in the Senseo machines. The lid will not shut with just a single pod in the holder. My husband did manage to shut the lid but then the coffee leaked out the sides of the machine because the seal couldn't properly close around the pod. Packaging says ""Fits all coffee pod brewers!"" and it is a total lie.",quality_defect,1,1,hazard,0.999360978603363
356805,We use chicken bouillon in a lot of our home cooked meals.<br />Finding organic bouillon is oft times a challenge and so we were pleased to find this product.<br />It doesn't need refrigeration and mixes easily into recipes.<br />The taste is great too.<br />Just be aware; if you're transferring the powder out of it's very nice foil packet (into a glass jar for example) that you remember that it's powder.<br />Otherwise you might end up with powder all over your counter top as opposed to in the container.<br />Powder.,safe,0,0,safe,0.9994422793388367
183207,I bough this as a stocking stuffer gift for Christmas. Was very disappointed in how tiny the item actually was. Felt item had been overpriced once received. Also felt item's shipping cost was overpriced for an item that was so small and shipped in a small envelope.,quality_defect,1,1,hazard,0.9992959499359131
567964,This baby food is both convenient and healthy. it's great to not worry about what my son is eating and be able to grab this when I'm in a pinch!,safe,0,0,safe,0.9997690320014954
496417,This is the most tasty protein bar I have ever had. I introduced to people at work and some of them just get hooked. It is not as chalky as other and tastes like real chocolate wafer.,safe,0,0,safe,0.9997374415397644
360547,"My family loves this soda.  We sometimes buy it from a nearby grocery store.  HOWEVER,  I had it shipped from Amazon and it is no good.  I believe that somewhere in the process of getting to my home the Zevia Orange may be getting too hot.  It was very hot weather the first time it was shipped to me.  It really tastes weird...not like when we buy if off the shelf.  I tried again in cold weather this time and though it's not as bad, it is still no good. It has an odd bite to it that I assume comes from it getting too warm.  It alters the beverage and cooling it in the frig does not reverse it.",quality_defect,1,1,hazard,0.9993414282798767
188261,"I very much enjoy dark roasts.  The challenge I find is that many of them are either burnt or overly bitter from poor roasting.  This coffee does a very good job of being a strong dark roast that is full of flavor without any hint of burnt or bitter flavors.  It is very dark and oily and the small portion that did not fit in my airtight container dried out a bit and was not as strong flavored.  That took over 3 weeks though due to the volume of coffee and it was still better than other dark roasts I have tried.  I have used this for guests to eat with pies and cake over the holidays and all of them commented on its excellent flavor.  A couple who don't really like dark roast did request some cream, but still gladly had multiple cups.<br /><br />I would recommend this to anyone who:<br /><br />1.  Likes dark roast coffee<br />2.  Doesn't know, and wants to try it<br />3.  Wants to change it up from a medium, or god forbid, a light roast.<br /><br />It is a good quality product made more so because of the cost",safe,0,0,safe,0.9991533756256104
6299,"Too soft: I just used this sugar to bake one of the layers for a firm pound cake-like layer cake intended for decoration (Wilton Butter cake recipe). This is a pretty hardy cake and can stand up to changes in temperature etc and still turn out well. I had already baked several of the layers with regular granulated sugar before I ran out and decided to use some of this baking sugar. Be forewarned, this sugar makes cakes far too tender. The layer literally fell apart coming out of the pan and it was well cooled and in a pan liberally covered in cake release. Even when I was mixing the batter, it for some reason stuck to my stainless bowl and was impossible to scrape entirely out. I'm sure this is good for meringues and such, but I would never attempt to use it again for a cake or even cookies. You would never get them out of or off the pan.",quality_defect,1,1,hazard,0.9992995262145996
472833,"I was very pleased with the price, quality and taste of this coconut.  I consume a lot of it by the spoonful and this was definitely the best value I could find.",safe,0,0,safe,0.9997201561927795
392345,"i have just brought one small package of Canidea from my oversea agent 2weeks ago, before my puppy only tried a french brand. First i was just mixed them together and seems ok, but then the old finished there is something weird happened to her, she started eating the stools??!! >:( yes and also vomited white yellowish foam and coughing after totally swished into this brand, even sent her to vet checking blood, taking pills and medical treat which i was thinking she might catch cold. anyway only feel lucky is vet cost much cheaper here...<br />then now she refuse to eat it or only a little if really hungry. most of time she'd rather biting a bone, glad saw the comments here, i will change it to other brand asap :)",illness,1,1,hazard,0.9992976188659668
